id dam sire mtHap
CCH19 PAN06 DUB09 144
CCH20 PAN06 DUB09 144
CCK07 DTN04 ALD99 138
CCL06 STR00 AIDAN 153
CCL07 STR00 AIDAN 153
SOX12 SEQ01 WSD06 147
SOX13 SEQ01 MOU05 147
CCO91 LAM83 BITES 142
CCO95 LAM83 WEE85 142
CCO97 LAM83 TAM94 142
CCT16 CET12 SYC02 143
CCY20 ONY16 WSD11 143
CCY21 ONY16 WSD11 143
RES16 NEC12 SPD01 139
CDN13 HOC07 JAE05 147
CDN14 HOC07 NEC06 147
LEI10 RAP06 PERCY 140
CDN16 HOC07 MOZ02 147
CDN18 HOC07 KLD06 147
LEI15 RAP06 SHAGG 140
CDY19 BOO14 WSD11 147
CDY20 BOO14 LAURE 147
LEM18 AYE12 KLD06 147
NEC02 SPL98 TNY94 139
CED02 SEQ95 BERTI 147
CED03 SEQ95 ATH91 147
CED04 SEQ95 FRA96 147
LEX07 OPA03 SYC97 143
LIA14 ARA09 ZAPHO 147
LIA16 ARA09 CLW00 147
LIA18 ARA09 IOLOO 147
CEL94 AST90 CHE82 144
CEL95 AST90 CHE82 144
CEL97 AST90 SKA85 144
CEL99 AST90 JOW89 144
CER06 PRC02 IVY96 138
DIC98 HIC84 SLT86 147
CES17 DAK12 GLR09 147
CES19 DAK12 HDX11 147
CES20 DAK12 GLR09 147
CES21 DAK12 SULUU 147
CET06 RUF02 EGR93 143
CET07 RUF02 STUAR 143
CET08 RUF02 MOU02 143
CET09 RUF02 MOU02 143
CET10 RUF02 BSY02 143
LIM85 POL73 TRN77 144
CET13 RUF02 ALD99 143
CET14 RUF02 SPD01 143
NIV02 SAX97 CHP90 138
STA00 GAL89 PEREG 144
CET17 RUF02 ZAPHO 143
CET19 RUF02 RDD13 143
STA97 GAL89 BASIL 144
CFI89 CFU82 CUR81 142
CFI91 CFU82 TYS83 142
CFI92 CFU82 BLC81 142
CFI94 CFU82 FOL84 142
CFU82 CMO77 BLT71 142
CFU84 CMO77 LIKEC 142
CFU85 CMO77 ROCKY 142
CFU87 CMO77 ROCKY 142
CFU89 CMO77 CUR81 142
CGH00 WHA87 AST91 143
CGH91 WHA87 CHE82 143
LMS10 GOD94 MOU02 143
CGH94 WHA87 TYS83 143
CGH95 WHA87 WEE85 143
CGH97 WHA87 INI85 143
CGH99 WHA87 BASIL 143
CHA92 FID86 FOL84 136
CHD05 BIE01 CEL97 142
CHD06 BIE01 BULBY 142
CHD10 BIE01 STUAR 142
CHD11 BIE01 BSY02 142
CHD13 BIE01 MOU05 142
LPA02 LMS97 BASIL 143
LPA03 LMS97 NA 143
STO98 WHA89 BASIL 143
CHE80 BLT69 SOO72 147
CHE82 BLT69 CRT72 147
CHE84 BLT69 TER75 147
LPA09 LMS97 SYC02 143
LPA12 LMS97 SYC02 143
LPA13 LMS97 ZAPHO 143
ONY16 RBY05 TONKS 143
CHI89 PGB83 CLM79 101
CHK07 SOX04 UKL05 147
ONY21 RBY05 WSD11 143
CHK16 SOX04 GLR09 147
CHK18 SOX04 IOLOO 147
DTN04 TRT00 FRA96 138
SUL89 TER80 ASP77 151
SUL90 TER80 RED77 151
SUL91 TER80 KIW79 151
SUL92 TER80 CHE82 151
CHM08 HOC05 CEDRI 147
CHM10 HOC05 AIDAN 147
CHM12 HOC05 FLG00 147
CHM13 HOC05 AIDAN 147
CHM14 HOC05 FLG00 147
SUN93 RHY86 CROSS 138
CHM16 HOC05 KLD06 147
LUZ82 DOR78 MAXIS 132
ORC95 CRO90 INI85 138
SUR86 THO82 OTA76 132
CHN05 TRT97 FRO95 138
CHN06 TRT97 PRN99 138
LYR14 LUT08 HEL05 137
SUR95 THO82 SAF89 132
LYR20 LUT08 GGZ13 137
MAA20 BED15 MCU15 140
EBO88 PET83 ROCKY 147
CHU95 PIC91 TIG89 133
CHU97 PIC91 LAM86 133
CHY12 CHK07 KAR02 147
CHY14 CHK07 FRT03 147
CHY16 CHK07 TTL06 147
CIN78 BST73 MAXIS 139
CIN80 BST73 WHI72 139
EDA16 CHD05 FRT05 142
MAJ10 PRC06 TNG97 138
CLA83 CLE77 LIC74 137
MAJ13 PRC06 SYC02 138
CLA89 CLE77 KIW79 137
MAJ16 PRC06 ZAPHO 138
MAJ18 PRC06 WSD11 138
WHZ10 CGH94 FRA98 143
MAJ20 PRC06 HDX11 138
EGR90 IBI84 VIC80 143
SYC00 PET87 BASIL 147
SYC02 PET87 BERTI 147
SYC91 PET87 VER84 147
MAM16 VIP11 CHM10 147
CLE76 CLEOP YESTE 137
CLE77 CLEOP YESTE 137
MAM21 VIP11 ARE16 147
MAN85 MOM72 RED77 153
CLK04 GRA99 PERCY 130
CLK06 GRA99 HAW99 130
CLK08 GRA99 PERCY 130
MAR90 MAW83 SKA85 153
CLL02 VIO96 HER91 137
CLL03 VIO96 KKONG 137
CLL04 VIO96 TNG94 137
CLM79 CLE74 SCO71 137
CLM80 CLE74 CRT72 137
ELK18 LEI13 TTL06 140
CLM84 CLE74 NRSWI 137
CLO93 HIC89 JUG85 147
CLO94 HIC89 JUG85 147
MAS99 TUR85 SAF88 133
CLO96 HIC89 SLT86 147
CLR07 ZUC01 PERCY 140
CLR09 ZUC01 PERCY 140
CLR13 ZUC01 SPD01 140
CLR16 ZUC01 TTL06 140
MAW81 MOD74 GROWT 153
MAW83 MOD74 GROWT 153
MAW85 MOD74 FLINT 153
TER80 TRN72 BOSSS 151
MAX84 COL78 SEP78 130
MAX85 COL78 TRN77 130
CLT00 CCO87 PTL93 142
CLT91 CCO87 FAN85 142
MCD10 WAL06 FLG00 147
CLT94 CCO87 WEE85 142
EOL91 CAN80 KIW85 132
MCD13 WAL06 STERN 147
CLT97 CCO87 BASIL 142
CLT98 CCO87 BCL90 142
MCD16 WAL06 RUM04 147
ETN03 ALD94 TNY94 132
CLW00 STI94 SCOWL 143
CLW04 STI94 BULBY 143
CLW06 STI94 CSK93 143
MCQ18 PPL11 ULU12 144
CLW97 STI94 SCOWL 143
CLW99 STI94 SQUAS 143
MCU15 MNG09 SHAGG 138
CMB16 HED12 DIN10 147
MCU17 MNG09 SLITT 138
MCU19 MNG09 GLR09 138
MCU20 MNG09 HALFE 138
CMR01 CLT97 SQUAS 142
TIC06 CLO96 CEDRI 147
CMR04 CLT97 BULBY 142
CMR08 CLT97 MOU02 142
CMT05 MLN00 PERCY 147
CMT06 MLN00 DOC02 147
PEL89 MOS83 BRF76 138
MDL01 FAN93 WOD90 130
MDL03 FAN93 TNG95 130
MDL04 FAN93 FRA96 130
MDL97 FAN93 FLY86 130
CND04 TIN98 CEDRI 140
CND06 TIN98 ZUC96 140
CND07 TIN98 STUAR 140
CND08 TIN98 CLW00 140
CND10 TIN98 CLW00 140
MEA91 BAR84 TYS83 155
TIN00 THU91 PEREG 140
CND14 TIN98 HEL05 140
CND15 TIN98 FRT03 140
CNE04 TUS01 ATH91 135
CNE05 TUS01 SYC96 135
